HNRPA2B1	[14961028, 11432708, 15583979, 11493263, 10948206, 12905876, 10632338, 12417033, 12546712, 12906852, 14608468]
BRDG1	[12540842, 15611091, 15090612, 14615539, 11716489]
DNAJB4	[15661747, 15342786, 15782117]
FMO4	[15680226, 15864117, 15564885, 15465656, 15526343, 15566096]
PSTPIP2	[9804836, 9804817, 15788569, 15669503]
SLC28A1	[15805487, 15870078, 15780063]
NGLY1	[14726951, 15574955, 14749736]
BAT3	[15858637, 15860505, 15855225, 15864375, 15875085]
TIGD7	[15843040]
SPON1	[15094110, 14983046, 15094111, 15233925]
DPP7	[15819128, 14980678, 15487984, 15324904, 15686454]
C5orf12	[15637075]
DIAPH2	[15866564, 15841422, 15854588, 15864301, 15847654, 15857614]
PC-LKC	[11207278]
MFAP2	[15788413, 15579102, 15790312]
XPC	[15837542, 15661662, 15863269, 15843682, 15866714, 15811629, 15746040, 15657918, 15729698, 15849729, 15744458, 15841432, 15746160, 15688066, 15700316, 15731165]
HMGB1	[15803152, 15666359, 15687351, 15823506, 15701800, 15743787, 15734795, 15673164, 15733057, 15808513, 15834309, 15781619, 15802534, 15789216, 15766246, 15753771, 15753748, 15841214, 15805172, 15672453, 15795240, 15812310, 15723341, 15793304, 15734480]
ZNF16	[8033151]
SLC39A14	[15794747, 15642354]
CRIPT	[12371854, 14705117, 15808229]
ABAT	[15661199, 15737665, 15723541, 15830322, 15680540, 15653355, 15856077, 15864560]
BLMH	[15843970, 15866320, 15850570, 15864433, 15853966, 15862788, 15836311, 15869844, 15845325]
DMPK	[15872123, 15866102, 15864403, 15866060, 15869138, 15867940, 15866059, 15866353, 15863953, 15866633, 15863762, 15866104, 15867007, 15868112, 15866057, 15866486, 15871182, 15868110, 15867042, 15865505]
DCPS	[15875203, 15856536, 15833032, 15847439, 15860576]
CETN2	[15155891, 15198203, 15147904, 15733300, 15789350, 15055439, 15347651]
CPN1	[15702321, 15629361, 15730214, 15776645, 15843575, 15720493, 15718415, 15788043, 15806552, 15710343, 15764166, 15692096, 15843967, 15842060, 15802306, 15617514, 15672844]
MRPL42	[1764528, 2666132]
CCNB1IP1	[11223542, 12612082, 14726694]
SARA1	[15865149, 15867290]
XRCC1	[15864803, 15854596, 15867260, 15851405, 15833507, 15848463, 15870918, 15867196, 15867257, 15867365, 15868923, 15838887, 15841782, 15875086, 15840879, 15833508, 15858144, 15839917, 15826766, 15832088, 15863265, 15838689, 15846106, 15829102, 15846124]
RASA2	[14530271, 12356770, 12885767, 12001262, 11728827]
PDE5A	[15865259, 15837326, 15817798, 15850242, 15800651, 15828959, 15837329, 15815584, 15821157, 15822384, 15820939, 15799127]
AKAP10	[12646697, 14531807, 12761220, 12748857, 12741833, 14531806, 15488188]
RNF10	[10697961]
HSPA1A	[15810080, 15665732, 15655672, 15834308, 15855015, 15755818, 15712328, 15860553, 15760675, 15748471, 15762988, 15767549, 15832029, 15842541, 15719414, 15734587, 15826605, 15660764, 15845878, 15745966, 15663200, 15809055, 15736156, 15696546, 15735699]
KLK14	[12858357, 12925213, 15843175, 14695222, 15361709]
RFX2	[15024578, 10330134, 15494451, 15229132, 11682486, 15526285, 14743396, 11986307]
BRD3	[15585503, 15128596, 15158256, 15131143, 15261828]
SLC35B1	[11284010]
MMAB	[15870200, 15870873, 15870257]
ARHN	[15487340, 15875106, 15609488, 15801662]
DLK1	[15762782, 15781650, 15854893, 15859358, 15798773, 15834634, 15762380, 15806146, 15854907]
TM4SF9	[14552635, 15310225, 12767187, 15682397, 14568979]
SLC38A5	[15863622, 15779082, 15792489]
USH3A	[15521980, 15650299, 15368488, 15767904, 15823922]
OAS1	[12222967, 10760427, 15766558, 15291968, 12799444, 14559211, 11682059, 12887736, 12396720, 15732009, 12944978, 15145216, 14728690, 15579276, 15066190, 12752687, 15855350, 14769924, 12796781]
