#disease_state	mutant p53	mutant p53	mutant p53	mutant p53	mutant p53	mutant p53
Probesets	GSM79144	GSM79118	GSM79147	GSM79241	GSM79122	GSM79227
33814_at	8.628816	8.726205	8.150152	8.841626	8.621554	8.559755
33850_at	7.245613	7.397951	7.626735	7.605539	7.568791	7.199087
34031_i_at	6.345807	6.397668	6.408439	5.767914	6.912522	5.990539
34063_at	4.893875	4.947014	4.735533	4.735759	4.846766	5.080726
34187_at	4.589753	4.741072	4.803439	4.715996	4.687121	4.828665
34206_at	8.404749	8.598238	8.385471	8.671936	8.659311	8.232933
34210_at	6.740208	7.420941	7.959931	7.817626	6.420354	7.385905
34221_at	8.271195	8.443732	8.115276	8.390609	7.96748	8.101003
34225_at	7.579509	7.657815	7.216821	8.015587	8.259443	7.239131
34260_at	7.327447	7.746583	6.803672	7.970151	7.401107	6.946281
34406_at	8.146212	7.675012	7.845913	8.052801	8.329283	7.505555
34408_at	7.673576	7.992749	7.479471	8.334831	8.29424	7.72055
34449_at	4.837587	4.49795	4.684702	4.493453	4.722246	4.765681
34471_at	4.53058	4.271738	4.282166	4.195206	4.32201	4.4884
34478_at	5.66285	5.53598	5.900578	5.469973	5.649998	5.848704
34689_at	9.00976	9.094427	9.392955	9.16703	9.105914	9.383841
34697_at	6.868239	6.686149	6.340962	6.797126	7.65042	6.918501
34726_at	8.479334	7.755327	7.757214	8.186269	8.056326	7.801073
34764_at	6.194576	6.614897	6.661539	7.262245	6.492635	7.15611
34846_at	7.55031	7.463899	7.344911	7.449861	7.492662	7.597087
34858_at	8.056057	7.769703	7.876628	8.626986	7.653327	7.54247
34868_at	6.488922	7.129065	6.905267	6.94566	7.122914	6.82328
35147_at	9.529303	8.827353	8.400473	9.009498	9.816184	8.247528
35148_at	6.253818	7.163978	5.267849	6.277578	6.209549	5.330425
35150_at	9.007114	8.990158	8.83495	8.917687	8.971002	9.333004
35156_at	8.812493	8.971413	8.452824	9.066955	8.743856	8.369104
35160_at	8.189798	8.117877	7.919168	8.529075	8.322439	8.090014
35179_at	6.62236	7.039969	7.046151	6.845337	6.491395	6.454959
35201_at	9.081637	8.656297	8.713363	8.816198	8.834293	8.748412
35254_at	8.642654	8.818475	8.398657	8.722225	8.679271	8.976765
35265_at	7.97923	7.944501	7.920248	8.423733	8.149849	7.788092
35436_at	8.630739	8.044045	8.353258	8.403597	7.590012	7.490156
35617_at	7.621846	7.915655	8.267118	7.828652	8.11828	7.733981
35626_at	9.26389	9.121943	8.740852	9.264596	8.48685	8.648188
35666_at	8.647611	9.15045	8.752698	9.382015	8.57114	8.435429
35671_at	9.387485	9.459206	8.963101	10.126589	9.382889	9.261776
35685_at	10.275746	10.004132	9.943117	9.996772	10.054683	9.996086
35776_at	8.692089	8.610542	8.718551	8.720306	9.128528	8.181622
35820_at	9.00017	9.573835	9.313285	9.23418	8.701582	9.33518
35846_at	6.674929	6.45547	6.346339	6.365528	7.165099	6.340372
35974_at	5.132521	5.336207	5.187136	5.292824	5.006996	5.210118
36004_at	9.256685	9.110029	8.972546	9.143048	9.065214	9.039347
36019_at	8.504214	8.747946	8.594028	8.570076	8.661298	8.767683
36030_at	8.533391	8.623368	8.337139	8.321693	8.304199	8.308501
36084_at	8.393141	8.202386	8.41588	8.344599	9.004217	8.19043
36129_at	10.318394	9.98977	9.325519	10.283305	9.818512	9.602071
36475_at	7.472789	7.316377	7.051691	7.437689	7.373973	7.209732
36499_at	7.026843	7.624004	7.261418	8.46017	7.763774	7.117526
36545_s_at	6.916288	7.019726	6.604414	7.295019	6.868766	7.697203
36552_at	7.512343	7.930482	7.930599	8.289089	7.705628	7.619127
36553_at	7.355258	8.469147	7.716054	7.452379	8.400547	6.666949
36554_at	6.368272	7.141601	6.539837	6.331228	7.232884	6.207318
36564_at	7.952029	7.69469	7.929575	7.405273	7.795599	8.465646
36566_at	7.339736	7.421244	7.447536	7.593578	7.292435	7.211734
36612_at	4.654101	5.085081	4.404558	4.643588	4.929288	4.444991
36711_at	7.527347	6.237571	7.431843	6.93611	7.855802	6.628
36742_at	6.54282	6.349253	6.260061	6.275663	6.535191	6.577788
36829_at	8.394398	8.211384	8.081327	8.048602	8.417813	8.353981
36830_at	6.674688	7.281981	6.796269	7.074988	8.050144	7.013461
36865_at	6.682461	6.658621	6.458392	6.863284	6.563961	6.80495
36888_at	8.893148	8.433965	8.204539	8.584831	8.666182	8.603953
36907_at	9.524126	9.221601	9.019928	9.100135	9.288018	9.231248
36920_at	4.297112	4.416943	4.815545	4.2496	4.321735	4.411582
36936_at	10.037283	9.67484	9.458017	7.695667	10.082854	8.440309
36994_at	10.794264	11.389262	10.910519	11.264158	10.689183	10.904075
37004_at	5.540655	5.348934	5.367548	5.39309	5.398551	5.530564
37005_at	10.785325	10.574915	10.633344	11.201727	10.60087	10.070548
37012_at	10.864132	10.70031	11.050922	10.8446	11.047543	10.319588
37020_at	4.471887	4.326871	4.143978	4.260346	4.385855	4.447884
37022_at	8.785602	8.608079	8.364787	8.624409	8.802246	8.982994
37028_at	8.093177	7.793252	7.800708	7.975954	8.00114	7.842231
37079_at	3.788734	3.864469	4.321613	3.743102	3.862882	4.459428
37117_at	9.149127	8.371152	7.915395	8.751062	8.337921	8.307463
37145_at	6.08619	6.428368	8.231067	5.95712	5.605588	7.830028
37152_at	8.609916	8.424019	8.620756	8.213209	8.467603	8.64444
37170_at	4.59002	3.946979	3.903984	4.555806	3.734707	4.061478
37201_at	6.680814	6.477778	6.199179	6.418465	6.436109	6.586974
37226_at	5.376684	5.504609	5.092359	6.009065	5.344382	5.297019
37232_at	5.54067	5.444851	5.474134	5.568691	5.358993	5.640187
37254_at	7.250923	7.252935	7.197138	7.133335	6.873573	7.590709
37278_at	8.115747	7.873318	7.792941	7.865011	8.128334	7.731156
37384_at	8.744436	8.016977	7.749119	8.248334	8.511653	7.993476
37408_at	9.507641	9.757658	9.513889	9.781838	9.544349	8.947068
37424_at	7.19625	7.27881	7.324638	6.954392	7.585111	7.417547
37425_g_at	5.223042	5.326771	5.492118	5.229822	5.803993	5.242961
37433_at	4.38157	4.470498	4.432505	4.094949	4.296403	5.320775
37462_i_at	8.673195	8.532477	8.596069	8.233889	9.036918	8.412724
37512_at	4.4929	5.132369	4.493307	4.466333	4.896192	4.40289
37547_at	4.528322	5.092647	5.001732	4.546815	4.805903	4.686613
37549_g_at	6.509993	6.789378	6.808951	6.472066	6.518533	6.225859
37566_at	4.101919	3.972611	4.157512	4.199556	4.17253	4.090112
37577_at	4.665105	4.99437	5.179901	5.174505	4.921713	5.198809
37586_at	6.12084	6.310563	6.186954	6.189035	6.333067	6.453789
37590_g_at	7.163728	7.0322	6.792694	7.054469	7.573291	7.148603
37652_at	8.021263	7.962989	7.787566	8.198291	7.869898	7.626644
37793_r_at	6.516496	6.243498	5.941623	6.156352	6.072719	6.257774
37796_at	7.958344	7.609395	7.503679	7.792017	8.079153	7.478255
37802_r_at	3.64879	3.559953	3.712522	3.692573	3.844812	3.704393
37831_at	8.611291	8.497661	8.323067	8.635084	8.477656	8.735502
37860_at	7.460529	7.182773	6.964818	7.564722	7.390416	7.333704
37872_at	6.513137	6.269437	5.983338	6.08393	6.35219	6.276749
37892_at	10.944232	11.266473	9.255108	10.031387	10.803859	9.384218
37943_at	6.308397	6.477913	6.357605	6.463233	6.035137	7.063351
37950_at	5.990104	6.154894	6.67427	6.243283	6.168714	6.480628
37953_s_at	6.122697	6.037755	5.806833	5.885927	5.866827	6.285379
37965_at	6.844649	7.106411	7.134258	7.392665	7.342214	7.857409
37966_at	7.065671	7.420251	7.654589	7.889076	8.010073	8.337161
37986_at	5.331471	5.040738	4.968558	5.080268	5.054509	4.867886
37996_s_at	6.838238	6.43197	6.168619	6.227484	6.769315	6.149743
38037_at	6.0137	5.906556	6.273066	6.150018	6.051787	6.485021
38043_at	8.228991	8.367944	8.469218	8.205975	8.342507	7.926253
38069_at	9.077765	9.06362	8.849906	9.32035	9.012456	8.733403
38149_at	7.34691	7.549712	7.713967	7.808077	6.962686	7.349105
38157_at	8.322538	8.752103	8.533518	8.313753	8.829726	8.485152
38158_at	7.691626	7.6018	7.591331	7.747966	7.971067	8.116083
38241_at	4.631066	5.946529	7.246562	5.946913	5.930551	6.650227
38269_at	9.42281	9.322091	9.4017	9.551688	9.666165	9.369402
38290_at	5.836969	6.875867	5.794359	6.280438	5.994617	5.921685
