ABCG2	15625123,15670731,15769853,15801936,15807535,15811555,15811951,15813675,15838659,15899516,15906349,15917307,15961534,16008690,16024622,16041239,16086592,16108826,16146333,11807788,11948115,11986944,12054514,16870176,16954373,16960658,17032904,17098188,17148776,17228519,17229149,17237154,17273774,17275084,17297656,17312388,17323127,17340137,17347325,17373578,17380269,17434155,17438106,17445775,17460607,17481587,17494054,17505995,17518356,17519960,17534875,17569884,17595345,17622941,17627617,17662239,17671398,12111378,12145683,12208758,12369998,12374800,12393637,12429862,12438926,12459192,12477932,12479221,15027118,15044468,15146167,15170677,15208643,15229462,15251980,15260487,15355921,15475413,15489334,15557326,15598974,15607361,15618737,12960109,14566825,14576842,14613996,14702039,15001581,15014021,15014037,16160819,16278376,16278398,16343180,16367905,16402910,16445700,16460798,16505951,16528971,16543472,16554028,16618113,16704962,8894702,9850061,9861027,9892175,10070941,11306452,11309308,11533706,11566359,11590207,11688982,11801536,16707421,16749862,16791115,16815914,16847575,17682070,17686774,17701580,17875533,17916067,17923155,17925548,17938326,17938643,18056989,18094074,18159130,18167504,18245481,12576456,12604403,12668685,12682043,12741957,12810652,12874005,12958161
ABCG4	11435397,11606068,11856881,12137944,12183068,12477932,15240127,15489334,16870176,16902247
ABCG5	11435688,11452359,11590207,11668628,11855938,11907139,12124998,12150943,12208867,12208868,12220438,12477932,14504269,14702039,14703505,15121760,15175352,15262185,15311998,15520451,15611112,15816807,15930516,15980630,16250035,16472606,16518588,16614398,16870176,16893193,16980816,17055487,17098593,17102949,17403900,17612515,17626266,17690481,17827468,9727073,11099417,11138003
ABCG8	17690481,17827468,12208867,12208868,12220438,11099417,11452359,11590207,11668628,11893785,11907139,12111378,12124998,12150943,12477932,14504269,14703505,15175352,15262185,15311998,15331430,15520451,15611112,15816807,15930516,16472606,16518588,16870176,16893193,16980816,17055487,17098593,17102949,17403900,17612515,17626266,17632509
ABHD1	11922611,12477932,12735795,14702039,15489334,15815621
ABHD10	15489336,15489334,14702039,12477932,11256614,11076863,16381901
ABHD11	16381901,15498874,15489336,15489334,12853948,12477932,11076863,12073013
ABHD12	11780052,12477932,14702039,15489334,16303743
ABHD12B	12477932,15489334,14702039
ABHD13	16303743,12477932,15489334,15057823,14702039
ABHD14A	12477932,15489334,12975309,14667578
ABHD14B	14702039,11053859,15489334,16303743,12477932
ABHD2	17980156,16344560,15489334,14702039,12477932,11922611,9373149,2843827,8125298
ABHD3	11922611,12477932,15489334,9110174,8619474
ABHD4	16818490,15489334,14702039,12477932
ABHD5	17631826,17495960,17308334,16679289,15967942,12477932,11590543,10810093,9110174,8619474,15489334
ABHD6	14702039,15489334,12477932,9373149
ABHD7	15489334,12477932,14702039
ABHD8	16344560,14702039,12477932,9373149,15489334
ABHD9	15489334,12477932,14702039,17437806
ABI1	1049958,9010225,17951403,17101133,17081983,16899465,16225669,16182283,15893754,15769844,15696170,15657136,15591787,15489334,15164054,15048123,14565974,12681507,12672821,12665801,9593709,9694699,10499589,10995551,11003655,11034908,11099046,11418237,11557983,11956071,12011975,12127568,12477932,12522270,12547160
ABI2	10498863,17389688,7590236,17101133,16488906,16189514,15509564,15489334,15146197,14702039,12569093,12477932,12463424,12011975,11516653,10995551,10964520,10858458,8649853
ABI3	15489334,15489336,16189514,16381901,17101133,10978530,11076863,11230166,11501947,11956071,12011975,12477932
ABI3BP	11501947,12477932,14702039,16205947,15752759,16189514,15489334
