affy_Mouse430_2
Probe ID	Genbank Acc
1416769_s_at	NM_033617
1416770_at	NM_021537
1416771_at	BC003736
1416772_at	NM_009949
1416773_at	NM_009516
1416774_at	NM_009516
1416775_at	NM_025504
1416776_at	NM_016669
1416777_at	NM_026087
1416778_at	BE197945
1416779_at	BE197945
1416780_at	NM_021514
1416781_at	NM_138602
1416782_s_at	NM_138602
1416783_at	NM_009311
1416784_at	NM_031190
1416785_at	NM_027398
1416786_at	NM_007394
1416787_at	NM_007394
1416788_a_at	NM_008323
1416789_at	NM_008323
1416790_a_at	NM_011561
1416791_a_at	BC005594
1416792_at	NM_008014
1416793_at	NM_019717
1416794_at	NM_019717
1416795_at	NM_030004
1416796_at	NM_010879
1416797_at	NM_010879
1416798_a_at	NM_019731
1416799_at	AV320241
1416800_at	AV320241
1416801_at	AV320241
1416802_a_at	NM_026410
1416803_at	NM_010222
1416804_at	NM_053252
1416805_at	NM_133187
1416806_at	NM_007997
1416807_at	NM_019865
1416808_at	X14480
1416809_at	BC010528
1416810_at	BC013344
1416811_s_at	NM_007796
1416812_at	BG518542
1416813_at	BG518542
1416814_at	BG518542
1416815_s_at	BE986800
1416816_at	NM_021605
